0.008330	0.039763	B
0.486748	0.517396	B
0.961551	0.992199	B
1.437612	1.471403	B
1.913829	1.944634	B
2.390833	2.422738	B
2.867365	2.897227	B
3.343268	3.375488	B
3.819486	3.849819	B
4.295075	4.327137	B
4.771607	4.802412	B
5.248453	5.280673	B
5.724200	5.754847	B
6.199160	6.232322	B
6.675849	6.707911	B
7.153167	7.185858	B
7.628756	7.659404	B
8.104659	8.136879	B
8.581663	8.612153	B
9.058195	9.091514	B
9.533627	9.565217	B
10.009844	10.042850	B
10.486848	10.517339	B
10.962751	10.995128	B
11.439126	11.470403	B
11.915973	11.946306	B
12.390776	12.422838	B
12.866679	12.899684	B
13.343211	13.374173	B
13.820058	13.851491	B
14.296432	14.327866	B
14.772021	14.806441	B
