0.000000	0.033457	B
0.556319	0.587053	B
0.949633	0.983090	B
1.154654	1.226625	S
1.940892	1.966180	B
2.110122	2.172368	S
2.323313	2.353658	B
2.944212	2.984672	B
3.349197	3.382654	B
3.540602	3.625022	S
4.335399	4.391809	B
4.487900	4.571932	S
4.733770	4.775008	B
5.308374	5.347277	B
5.697019	5.726586	B
5.899706	5.966231	S
6.691391	6.723681	B
6.866456	6.929869	S
7.088595	7.120885	B
7.668256	7.707160	B
8.049510	8.086079	B
8.252975	8.294601	S
8.457996	8.520241	S
8.839250	8.917834	S
9.219336	9.287028	S
